study,block,item,group_or_track,value_1,value_1_label,value_2,value_2_label,note,source
Study2_Amazon_Electronics,screening_chain,S0 raw extraction,all,43886944,reviews,18286191,users,0 corrupt rows,Manuscript V9.59m Table 5
Study2_Amazon_Electronics,screening_chain,S1 validity screen,all,43886942,reviews,18286190,users,"rating in [1,5]; year 1996-2023; parent_asin non-missing",Manuscript V9.59m Table 5
Study2_Amazon_Electronics,screening_chain,S2 exact duplicates removed,all,43408909,reviews,18286190,users,,Manuscript V9.59m Table 5
Study2_Amazon_Electronics,screening_chain,S3 users with >=5 reviews,all,17703617,reviews,1850382,users,,Manuscript V9.59m Table 5
Study2_Amazon_Electronics,screening_chain,S4 observed span >=365 days,all,16379322,reviews,1664382,users,analytic sample,Manuscript V9.59m Table 5
Study2_Amazon_Electronics,aggregate_curvature,primary estimand: raw track,"review-level OLS, user-clustered SE",+1.84e-5,pi_2,0.646,p,universal inverted-U NOT supported under primary estimand,Manuscript V9.59m Section 5.3
Study2_Amazon_Electronics,aggregate_curvature,inflation-robust: product x year demeaned,"review-level OLS, user-clustered SE",+1.16e-4,pi_2,1.9e-4,p,"positive curvature, opposite sign to inverted-U prediction",Manuscript V9.59m Section 5.3
Study2_Amazon_Electronics,aggregate_curvature,inflation-robust: year-demeaned,"review-level OLS, user-clustered SE",+1.10e-4,pi_2,0.005,p,positive curvature,Manuscript V9.59m Section 5.3
Study2_Amazon_Electronics,aggregate_curvature,Path B: user-weighted cells,user x tenure-year equal weight,-6.21e-5,pi_2,0.0417,p,does NOT meet Bonferroni alpha=.025; sign differs from review-level tracks (weighting-sensitive),Manuscript V9.59m Section 5.3 + Appendix B.4
Study2_Amazon_Electronics,aggregate_curvature,ordered-logit robustness (ceiling effects),ordered logit,-0.0200,b (monotone decline),2.3e-9,p,quadratic NS,Manuscript V9.59m Section 5.3
Study2_Amazon_Electronics,measurement_layer,measurement model fit,CFA layer,290.92,chi2 (df=39),CFI=0.991; TLI=0.990; RMSEA=0.018,fit indices,,Manuscript V9.59m Section 5.3
Study2_Amazon_Electronics,era_curvature,EC1,first-review 1996-2003,8184,users,+7.588e-4,pi_2,p=1.13e-9; U-shaped,Manuscript V9.59m Table 6
Study2_Amazon_Electronics,era_curvature,EC2,first-review 2004-2017,1318686,users,-6.359e-5,pi_2,p=0.0747; flat (NS),Manuscript V9.59m Table 6
Study2_Amazon_Electronics,era_curvature,EC3,first-review 2018-2023,337512,users,-2.832e-3,pi_2,p=5.36e-8; accelerating within-range decline,Manuscript V9.59m Table 6
Study2_Amazon_Electronics,individual_two_stage,classifiable users,all,904403,users,,,,Manuscript V9.59m Section 5.3
Study2_Amazon_Electronics,individual_two_stage,normative inverted-U share,all,43.95%,share of classifiable users,3.90%,monotone-decline share,,Manuscript V9.59m Section 5.3
Study2_Amazon_Electronics,individual_two_stage,individual quadratic coefficients,all,-0.0079,mean pi_2,,,predominantly negative distribution,Manuscript V9.59m Section 5.3
Study2_Amazon_Electronics,individual_two_stage,median turning point among inverted-U users,EC1,8.10,years,,,,Manuscript V9.59m Section 5.3
Study2_Amazon_Electronics,individual_two_stage,median turning point among inverted-U users,EC2,3.77,years,,,,Manuscript V9.59m Section 5.3
Study2_Amazon_Electronics,individual_two_stage,median turning point among inverted-U users,EC3,2.03,years,,,,Manuscript V9.59m Section 5.3
Study2_Amazon_Electronics,individual_two_stage,equal-window censoring check (tenure 0-5y),531774 users,7163.95,Kruskal-Wallis H,~0,p,"only EC3-earliest ordering survives; descriptive, cohort-tenure confounded",Manuscript V9.59m Section 5.3
Study3_JData,screening_chain,S0 users with >=1 type-1 and >=1 type-5 behavior,all,26244,users,,,"seed-42 sampling cap of 50,000 not triggered",Manuscript V9.59m Section 6 (screening table)
Study3_JData,screening_chain,"S1 diversity_score computed over retained types {1,2,4,5,6}",all,26244,users,,,diversity_score = log(1+n_unique_cates)+log(1+n_unique_brands),Manuscript V9.59m Section 6 (screening table)
Study3_JData,screening_chain,S3 validity screen: age>0 and sex non-missing,all,23644,users,,,effective sample,Manuscript V9.59m Section 6 (screening table)
Study3_JData,screening_chain,"S4 gender-test subset: sex in {1,2}",all,12699,users,,,,Manuscript V9.59m Section 6 (screening table)
Study3_JData,descriptive_association,breadth x consumption level,full sample,0.2861,Spearman rho,<0.001,p,,Manuscript V9.59m Section 6.3
Study3_JData,descriptive_association,mean consumption level across breadth-median tiers,low vs high tier,3.90,low tier mean,4.33,high tier mean,"F=521.57; descriptive restatement across stratification, not an independent test",Manuscript V9.59m Section 6.3
Study3_JData,descriptive_association,breadth x age,full sample,-0.0407,Spearman rho,13.79,age-group ANOVA F,six coded brackets 16-25 to 65+; weak negative,Manuscript V9.59m Section 6.3
Study3_JData,descriptive_association,breadth x gender,gender subset N=12699,0.000,Cohen's d,0.0076,t,p=.994; 2136 male / 10563 female,Manuscript V9.59m Section 6.3
Study3_JData,descriptive_association,breadth x gender (nonparametric),gender subset,11256520,Mann-Whitney U,0.873,p,no detectable mean difference in observed subset; no formal equivalence test,Manuscript V9.59m Section 6.3
Study3_JData,tier_descriptives,mean actions per user,high vs low tier,1371.24,high tier mean actions,399.07,low tier mean actions,,Manuscript V9.59m Section 6.3
Study3_JData,tier_descriptives,composite-share mass in low tier,low tier,51%,share of composite-share mass,,,,Manuscript V9.59m Section 6.3
